trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2025-01-02,000001.SZ,11.73,11.77,11.39,11.43,11.7,-0.27,-2.3077,1819596.99,2102923.078
2025-01-03,000001.SZ,11.44,11.54,11.36,11.38,11.43,-0.05,-0.4374,1154680.44,1320520.978
2025-01-06,000001.SZ,11.38,11.48,11.22,11.44,11.38,0.06,0.5272,1085536.3,1234305.778
2025-01-07,000001.SZ,11.42,11.53,11.37,11.51,11.44,0.07,0.6119,747862.88,858329.049
2025-01-08,000001.SZ,11.5,11.63,11.4,11.5,11.51,-0.01,-0.0869,1062386.01,1223598.997
2025-01-09,000001.SZ,11.5,11.5,11.35,11.4,11.5,-0.1,-0.8696,751483.3,857836.086
2025-01-10,000001.SZ,11.4,11.46,11.28,11.3,11.4,-0.1,-0.8772,798133.51,905005.041
2025-01-13,000001.SZ,11.25,11.26,11.08,11.2,11.3,-0.1,-0.885,934966.18,1044904.416
2025-01-14,000001.SZ,11.2,11.4,11.19,11.38,11.2,0.18,1.6071,824628.95,934467.766
2025-01-15,000001.SZ,11.38,11.58,11.36,11.48,11.38,0.1,0.8787,1031630.82,1185403.653
2025-01-16,000001.SZ,11.55,11.59,11.47,11.57,11.48,0.09,0.784,872963.99,1007689.274
2025-01-17,000001.SZ,11.53,11.55,11.42,11.45,11.57,-0.12,-1.0372,689764.86,791230.419
2025-01-20,000001.SZ,11.5,11.52,11.4,11.42,11.45,-0.03,-0.262,832029.13,953092.179
2025-01-21,000001.SZ,11.45,11.45,11.32,11.33,11.42,-0.09,-0.7881,902068.94,1024879.174
2025-01-22,000001.SZ,11.32,11.33,11.08,11.09,11.33,-0.24,-2.1183,1347129.22,1504818.607
2025-01-23,000001.SZ,11.17,11.4,11.17,11.32,11.09,0.23,2.0739,1514920.27,1715172.472
2025-01-24,000001.SZ,11.32,11.39,11.22,11.34,11.32,0.02,0.1767,944944.21,1069899.088
2025-01-27,000001.SZ,11.38,11.55,11.38,11.47,11.34,0.13,1.1464,1151934.71,1324270.607
2025-02-05,000001.SZ,11.5,11.52,11.33,11.37,11.47,-0.1,-0.8718,843433.7,961193.579
2025-02-06,000001.SZ,11.35,11.45,11.3,11.36,11.37,-0.01,-0.088,955603.25,1084793.176
2025-02-07,000001.SZ,11.36,11.45,11.31,11.38,11.36,0.02,0.1761,1407492.62,1601621.98
2025-02-10,000001.SZ,11.38,11.5,11.36,11.43,11.38,0.05,0.4394,1026590.93,1174044.624
2025-02-11,000001.SZ,11.4,11.47,11.37,11.42,11.43,-0.01,-0.0875,844520.03,963865.615
2025-02-12,000001.SZ,11.41,11.43,11.34,11.42,11.42,0.0,0.0,988806.83,1125323.633
2025-02-13,000001.SZ,11.42,11.55,11.4,11.5,11.42,0.08,0.7005,1358639.27,1560709.511
2025-02-14,000001.SZ,11.49,11.55,11.43,11.55,11.5,0.05,0.4348,973057.74,1118355.997
2025-02-17,000001.SZ,11.6,11.8,11.55,11.78,11.55,0.23,1.9913,2061965.42,2413146.067
2025-02-18,000001.SZ,11.76,11.96,11.76,11.81,11.78,0.03,0.2547,1996610.49,2371071.467
2025-02-19,000001.SZ,11.8,11.81,11.68,11.71,11.81,-0.1,-0.8467,1177748.95,1382467.174
2025-02-20,000001.SZ,11.71,11.76,11.65,11.66,11.71,-0.05,-0.427,784396.27,917231.443
