iter	RMSE
0	1.449353216
1	1.423708491
2	1.399219364
3	1.376679728
4	1.35555283
5	1.336430061
6	1.316910156
7	1.299197134
8	1.283880934
9	1.269255778
10	1.255963963
11	1.242695772
12	1.231448453
13	1.220958248
14	1.210313412
15	1.200598571
16	1.191331197
17	1.182735902
18	1.174719006
19	1.167087414
20	1.161423191
21	1.154695997
22	1.149504576
23	1.14331822
24	1.137754338
25	1.132140847
26	1.12675187
27	1.122059816
28	1.117820158
29	1.114078927
30	1.110046663
31	1.106934883
32	1.103665339
33	1.100033221
34	1.096686281
35	1.09352646
36	1.090467372
37	1.087892072
38	1.085038231
39	1.082537152
40	1.079802163
41	1.077348573
42	1.075165773
43	1.072323079
44	1.070303849
45	1.068279845
46	1.066346096
47	1.064412136
48	1.062239483
49	1.06027181
50	1.058401335
51	1.05707536
52	1.055751915
53	1.054394268
54	1.052660693
55	1.051188635
56	1.049910973
57	1.048483773
58	1.047144177
59	1.045479847
60	1.044454629
61	1.043195972
62	1.041924309
63	1.040904312
64	1.03969049
65	1.038336898
66	1.037395124
67	1.036067261
68	1.034895969
69	1.033659448
70	1.03278593
71	1.031706265
72	1.030441095
73	1.029494517
74	1.028275608
75	1.02695061
76	1.026006834
77	1.024740814
78	1.023523434
79	1.022612731
80	1.021481576
81	1.020600463
82	1.019576024
83	1.018642187
84	1.017485699
85	1.016560365
86	1.015442255
87	1.014284461
88	1.013519169
89	1.012607255
90	1.011423718
91	1.010367091
92	1.00912907
93	1.008024126
94	1.006876934
95	1.005784017
96	1.00504114
97	1.004493634
98	1.003804904
99	1.003152026
100	1.002409705
101	1.001443281
102	1.000863184
103	0.9999095565
104	0.9989489125
105	0.998090719
106	0.9968820213
107	0.9962834476
108	0.9953867097
109	0.994406201
110	0.9936654022
111	0.9929697115
112	0.9922411171
113	0.9914625576
114	0.990579371
115	0.9901196067
116	0.9890846131
117	0.9884463098
118	0.9878245741
119	0.9873078399
120	0.9866976109
121	0.985880018
122	0.9853534114
123	0.9843228268
124	0.9837372993
125	0.9830398333
