iter	Passed	Remaining
0	116	116509
1	118	59033
2	120	39962
3	121	30360
4	123	24571
5	125	20765
6	127	18103
7	129	16019
8	131	14427
9	133	13170
10	134	12103
11	136	11263
12	138	10513
13	140	9882
14	142	9342
15	144	8870
16	146	8456
17	148	8082
18	149	7742
19	152	7459
20	154	7183
21	155	6932
22	158	6719
23	160	6513
24	162	6328
25	164	6148
26	165	5982
27	168	5837
28	170	5697
29	172	5564
30	173	5438
31	175	5312
32	177	5196
33	179	5092
34	181	4994
35	182	4894
36	184	4809
37	186	4717
38	188	4635
39	190	4566
40	191	4485
41	193	4411
42	195	4343
43	196	4278
44	198	4216
45	200	4161
46	202	4102
47	204	4050
48	205	3997
49	207	3944
50	209	3893
51	211	3847
52	212	3798
53	214	3750
54	215	3709
55	217	3668
56	219	3626
57	220	3588
58	222	3549
59	224	3514
60	226	3479
61	227	3445
62	229	3412
63	231	3379
64	232	3348
65	234	3320
66	236	3287
67	237	3261
68	239	3232
69	241	3204
70	242	3179
71	244	3150
72	245	3121
73	247	3098
74	249	3075
75	251	3052
76	252	3032
77	254	3009
78	256	2987
79	257	2962
80	259	2943
81	260	2920
82	262	2898
83	263	2878
84	265	2856
85	266	2836
86	268	2815
87	269	2797
88	271	2776
89	272	2757
90	274	2739
91	275	2721
92	277	2703
93	278	2686
94	280	2672
95	282	2655
96	283	2639
97	285	2625
98	286	2609
99	288	2593
100	289	2577
101	291	2564
102	292	2549
103	294	2534
104	295	2521
105	297	2508
106	298	2494
107	300	2480
108	301	2467
109	303	2453
110	304	2439
111	306	2428
112	307	2414
113	309	2402
114	310	2390
115	312	2379
116	313	2368
117	315	2358
118	316	2346
119	318	2335
120	319	2323
121	321	2311
122	322	2302
123	324	2291
124	325	2280
125	327	2271
126	329	2264
127	331	2255
128	332	2244
129	334	2235
130	335	2226
131	337	2216
132	338	2208
133	340	2200
134	341	2191
135	343	2182
136	345	2176
137	347	2167
138	348	2161
139	350	2154
140	352	2146
141	354	2140
142	356	2134
143	358	2128
144	360	2123
145	362	2117
146	363	2110
147	365	2104
148	367	2097
149	368	2089
150	370	2085
151	372	2078
152	374	2072
153	376	2067
154	377	2060
155	379	2052
156	381	2045
157	382	2039
158	384	2032
159	385	2025
160	387	2019
161	388	2011
162	390	2005
163	392	2001
164	394	1995
165	395	1989
166	397	1985
167	399	1979
168	401	1972
169	403	1968
170	404	1963
171	406	1957
172	408	1952
173	410	1946
174	411	1941
175	413	1936
176	415	1931
177	416	1924
178	418	1918
179	420	1913
180	421	1907
181	422	1900
182	424	1896
183	426	1891
184	427	1885
185	429	1881
186	431	1876
187	433	1872
188	435	1867
189	436	1862
190	438	1856
191	439	1851
192	441	1847
193	443	1841
194	444	1836
195	446	1831
196	448	1826
197	449	1820
198	451	1817
199	453	1812
200	454	1807
201	456	1802
202	457	1798
203	459	1793
204	461	1788
205	462	1783
206	464	1778
207	465	1774
208	467	1771
209	469	1766
210	471	1761
211	472	1757
212	474	1752
213	475	1747
214	477	1744
215	479	1739
216	480	1735
217	482	1731
218	484	1726
219	485	1722
220	487	1717
221	488	1713
222	490	1709
223	492	1704
224	493	1700
225	495	1696
226	496	1692
227	498	1689
228	500	1685
229	502	1680
230	503	1677
231	505	1673
232	507	1669
233	508	1665
234	510	1661
235	511	1657
236	513	1652
237	514	1648
238	516	1643
239	517	1639
240	519	1635
241	521	1632
242	522	1628
243	524	1624
244	526	1621
245	527	1617
246	529	1613
247	531	1610
248	532	1606
249	534	1602
250	535	1598
251	537	1595
252	538	1591
253	540	1587
254	542	1584
255	543	1580
256	545	1576
257	546	1572
258	548	1568
259	549	1564
260	551	1561
261	553	1558
262	554	1554
263	556	1550
264	557	1547
265	559	1543
266	560	1539
267	562	1535
268	563	1532
269	565	1528
270	567	1525
271	569	1523
272	570	1519
273	572	1515
274	573	1512
275	575	1508
276	576	1505
277	578	1501
278	579	1498
279	581	1494
280	582	1490
281	584	1487
282	585	1484
283	587	1480
284	588	1476
285	590	1473
286	591	1470
287	593	1466
288	594	1463
289	596	1460
290	597	1456
291	599	1453
292	601	1450
293	602	1446
294	604	1443
295	605	1440
296	606	1436
297	608	1433
298	609	1429
299	611	1427
300	613	1424
301	614	1421
302	616	1418
303	618	1415
304	619	1411
305	621	1408
306	622	1405
307	624	1402
308	625	1399
309	627	1396
310	629	1393
311	630	1390
312	632	1387
313	633	1384
314	635	1381
315	636	1378
316	638	1376
317	640	1372
318	641	1369
319	643	1366
320	644	1363
321	645	1360
322	647	1356
323	648	1353
324	650	1350
325	651	1347
326	653	1344
327	654	1341
328	656	1338
329	657	1335
330	659	1333
331	661	1330
332	662	1327
333	664	1324
334	665	1321
335	667	1319
336	668	1316
337	670	1313
338	672	1310
339	673	1307
340	675	1304
341	676	1301
342	678	1298
343	679	1296
344	681	1293
345	683	1291
346	685	1289
347	686	1286
348	688	1284
349	690	1282
350	692	1280
351	694	1277
352	695	1274
353	697	1273
354	699	1270
355	700	1267
356	702	1265
357	703	1262
358	705	1259
359	706	1256
360	708	1253
361	709	1251
362	711	1248
363	713	1245
364	714	1243
365	716	1240
366	717	1237
367	719	1235
368	720	1232
369	721	1229
370	723	1226
371	725	1224
372	726	1221
373	728	1218
374	729	1216
375	731	1213
376	732	1210
377	734	1208
378	735	1205
379	737	1202
380	738	1200
381	740	1197
382	741	1195
383	743	1192
384	745	1190
385	746	1187
386	748	1185
387	750	1183
388	751	1180
389	753	1178
390	754	1175
391	756	1173
392	758	1170
393	759	1168
394	761	1166
395	763	1163
396	764	1161
397	766	1159
398	767	1156
399	769	1153
400	770	1151
401	772	1149
402	774	1146
403	775	1144
404	777	1142
405	779	1139
406	780	1137
407	782	1134
408	783	1132
409	785	1129
410	786	1127
411	788	1125
412	789	1122
413	790	1119
414	792	1117
415	794	1115
416	795	1112
417	797	1110
418	798	1107
419	800	1105
420	802	1103
421	803	1100
422	805	1098
423	806	1095
424	808	1093
425	810	1091
426	811	1088
427	812	1086
428	814	1084
429	815	1081
430	817	1079
431	818	1076
432	820	1074
433	821	1071
434	823	1068
435	824	1066
436	826	1064
437	827	1062
438	829	1059
439	830	1057
440	832	1055
441	833	1052
442	835	1050
443	837	1048
444	838	1045
445	840	1043
446	841	1041
447	843	1039
448	845	1036
449	846	1035
450	848	1032
451	850	1030
452	852	1028
453	853	1026
454	855	1025
455	858	1023
456	860	1022
457	862	1020
458	864	1018
459	866	1016
460	867	1014
461	869	1012
462	871	1010
463	873	1008
464	874	1006
465	876	1004
466	878	1002
467	879	1000
468	881	997
469	883	996
470	884	993
471	886	991
472	888	989
473	889	987
474	891	985
475	893	983
476	894	981
477	896	979
478	898	976
479	900	975
480	902	973
481	903	971
482	905	969
483	907	967
484	909	965
485	910	963
486	912	960
487	913	958
488	915	956
489	916	954
490	918	952
491	919	949
492	921	947
493	923	945
494	925	943
495	926	941
496	928	939
497	930	937
498	931	935
499	933	933
500	934	931
501	936	929
502	938	927
503	939	925
504	941	922
505	943	920
506	944	918
507	946	916
508	948	914
509	949	912
510	951	910
511	952	908
512	954	906
513	956	904
514	958	902
515	959	900
516	961	898
517	962	896
518	964	894
519	966	892
520	968	890
521	970	888
522	971	886
523	973	884
524	975	882
525	976	880
526	978	877
527	980	876
528	981	874
529	983	872
530	985	870
531	987	868
532	988	866
533	990	864
534	992	862
535	993	860
536	995	858
537	997	856
538	999	854
539	1000	852
540	1002	850
541	1004	848
542	1005	846
543	1007	844
544	1009	842
545	1010	840
546	1012	838
547	1013	836
548	1015	833
549	1017	832
550	1018	830
551	1020	828
552	1021	825
553	1023	823
554	1024	821
