date,code,open,close,high,low,volume,amount,amplitude,change-amount,turn
2023-01-03,3087.51,3116.51,3119.86,3073.05,281370362,331392138948.0,1.52,0.88,27.25,0.59
2023-01-04,3117.57,3123.52,3129.09,3109.45,273313626,316391228728.0,0.63,0.22,7.01,0.58
2023-01-05,3132.76,3155.22,3159.43,3130.23,257003018,335635934527.5,0.93,1.01,31.7,0.54
2023-01-06,3155.07,3157.64,3170.74,3151.84,257380255,338539843686.6,0.6,0.08,2.42,0.54
2023-01-09,3169.37,3176.08,3183.58,3165.43,258115218,342693770974.1,0.57,0.58,18.44,0.54
2023-01-10,3178.02,3169.51,3178.16,3165.14,232984175,310357698608.4,0.41,-0.21,-6.57,0.49
2023-01-11,3172.38,3161.84,3184.76,3160.89,237742869,309248892854.4,0.75,-0.24,-7.67,0.5
2023-01-12,3167.27,3163.45,3171.59,3153.4,216671305,275371843343.4,0.58,0.05,1.61,0.46
2023-01-13,3170.35,3195.31,3195.31,3167.51,220226897,288062499132.3,0.88,1.01,31.86,0.46
2023-01-16,3198.52,3227.59,3251.37,3197.32,306749549,413219640959.9,1.69,1.01,32.28,0.65
2023-01-17,3229.44,3224.24,3231.26,3211.76,226592230,302611778528.6,0.6,-0.1,-3.35,0.48
2023-01-18,3227.59,3224.41,3234.82,3220.37,212109730,266068176682.4,0.45,0.01,0.17,0.45
2023-01-19,3221.52,3240.28,3240.28,3210.38,226465030,296815557255.9,0.93,0.49,15.87,0.48
2023-01-20,3247.2,3264.81,3267.06,3247.2,273219182,329028168424.9,0.61,0.76,24.53,0.58
2023-01-30,3308.87,3269.32,3310.49,3266.76,353325829,453177014110.3,1.34,0.14,4.51,0.75
2023-01-31,3266.14,3255.67,3277.25,3252.01,300162957,375260749568.7,0.77,-0.42,-13.65,0.63
2023-02-01,3262.2,3284.92,3284.92,3245.41,339509410,413395187748.5,1.21,0.9,29.25,0.72
2023-02-02,3291.78,3285.67,3295.76,3272.41,333413133,428662803430.2,0.71,0.02,0.75,0.7
2023-02-03,3275.66,3263.41,3275.66,3235.35,293342814,378648522965.3,1.23,-0.68,-22.26,0.62
2023-02-06,3244.7,3238.7,3250.35,3226.21,267053107,349127264894.7,0.74,-0.76,-24.71,0.56
2023-02-07,3245.23,3248.09,3250.03,3233.83,250946450,321257641942.9,0.5,0.29,9.39,0.53
2023-02-08,3251.5,3232.11,3257.11,3230.44,234530481,293332736125.8,0.82,-0.49,-15.98,0.49
2023-02-09,3227.73,3270.38,3270.38,3225.77,254754529,351760831733.2,1.38,1.18,38.27,0.54
2023-02-10,3266.44,3260.67,3269.99,3247.23,260626926,341749872023.9,0.7,-0.3,-9.71,0.55
2023-02-13,3256.99,3284.16,3285.09,3252.63,297213188,397011413405.7,1.0,0.72,23.49,0.63
2023-02-14,3288.97,3293.28,3293.73,3279.19,270974168,355558052442.5,0.44,0.28,9.12,0.57
2023-02-15,3294.02,3280.49,3296.2,3274.55,269939123,357621816130.5,0.66,-0.39,-12.79,0.57
2023-02-16,3281.74,3249.03,3308.83,3231.34,380863545,468382512227.4,2.36,-0.96,-31.46,0.8
2023-02-17,3244.73,3224.02,3262.47,3223.26,278451237,355625842542.7,1.21,-0.77,-25.01,0.59
2023-02-20,3230.47,3290.34,3291.04,3225.84,325007733,397720315305.1,2.02,2.06,66.32,0.69
2023-02-21,3291.63,3306.52,3308.79,3282.44,324409449,390691271556.0,0.8,0.49,16.18,0.68
2023-02-22,3292.05,3291.15,3307.03,3286.72,255403985,320515620001.2,0.61,-0.46,-15.37,0.54
2023-02-23,3293.52,3287.48,3307.44,3275.36,262324304,334364534378.3,0.97,-0.11,-3.67,0.55
2023-02-24,3287.26,3267.16,3288.39,3253.97,234206306,308004347731.0,1.05,-0.62,-20.32,0.49
2023-02-27,3257.0,3258.03,3276.58,3251.72,242855344,324605090924.8,0.76,-0.28,-9.13,0.51
2023-02-28,3265.74,3279.61,3280.42,3246.14,251625032,318030137286.4,1.05,0.66,21.58,0.53
2023-03-01,3279.14,3312.35,3315.16,3272.04,318398704,384387413830.3,1.31,1.0,32.74,0.67
2023-03-02,3308.01,3310.65,3320.74,3306.46,328520016,389390626878.8,0.43,-0.05,-1.7,0.69
2023-03-03,3314.77,3328.39,3330.6,3302.62,343996919,388860006704.9,0.85,0.54,17.74,0.73
2023-03-06,3332.02,3322.03,3333.06,3308.73,340530446,431616811145.0,0.73,-0.19,-6.36,0.72
2023-03-07,3320.21,3285.1,3342.86,3284.41,389957956,430081145229.3,1.76,-1.11,-36.93,0.82
2023-03-08,3271.88,3283.25,3283.25,3263.69,260443547,312822175700.7,0.6,-0.06,-1.85,0.55
2023-03-09,3285.94,3276.09,3289.06,3260.0,264021859,328825695492.5,0.89,-0.22,-7.16,0.56
2023-03-10,3255.51,3230.08,3262.15,3229.5,281135410,342198577588.1,1.0,-1.4,-46.01,0.59
2023-03-13,3228.12,3268.7,3268.7,3228.12,294928087,364414206511.7,1.26,1.2,38.62,0.62
2023-03-14,3261.92,3245.31,3262.0,3216.99,319906033,409976276120.9,1.38,-0.72,-23.39,0.68
2023-03-15,3261.03,3263.31,3273.12,3256.86,305168798,373276384409.5,0.5,0.55,18.0,0.64
2023-03-16,3244.47,3226.89,3257.43,3224.72,327389632,392910208396.7,1.0,-1.12,-36.42,0.69
2023-03-17,3245.26,3250.55,3279.92,3240.16,343001022,431983057736.5,1.23,0.73,23.66,0.72
2023-03-20,3253.93,3234.91,3267.99,3231.65,392517391,480292404943.9,1.12,-0.48,-15.64,0.83
2023-03-21,3240.84,3255.65,3256.0,3237.89,301810779,388047055874.8,0.56,0.64,20.74,0.64
2023-03-22,3263.41,3265.75,3279.39,3255.74,290840462,382509081309.4,0.73,0.31,10.1,0.61
2023-03-23,3258.78,3286.65,3286.65,3252.99,306118393,426564792579.1,1.03,0.64,20.9,0.65
2023-03-24,3282.74,3265.65,3282.74,3260.84,324513337,430761598863.2,0.67,-0.64,-21.0,0.68
2023-03-27,3261.82,3251.4,3261.82,3229.7,337861206,453585768740.5,0.98,-0.44,-14.25,0.71
2023-03-28,3256.6,3245.38,3264.1,3241.74,295682660,396882943367.8,0.69,-0.19,-6.02,0.62
2023-03-29,3253.62,3240.06,3254.56,3229.58,296900508,405542776865.4,0.77,-0.16,-5.32,0.63
2023-03-30,3243.07,3261.25,3263.74,3220.98,299898295,401634271105.2,1.32,0.65,21.19,0.63
2023-03-31,3263.41,3272.86,3278.42,3260.04,283613746,396689286254.3,0.56,0.36,11.61,0.6
