date,code,open,close,high,low,volume,amount,amplitude,price-limit,change-amount,turn
2025-06-03,603799,33.39,33.52,33.85,33.39,125258,420789471.0,1.38,0.36,0.12,0.74
2025-06-04,603799,33.7,34.1,34.33,33.56,192894,657582343.0,2.3,1.73,0.58,1.14
2025-06-05,603799,34.26,34.09,34.27,33.92,118476,403277526.0,1.03,-0.03,-0.01,0.7
2025-06-06,603799,34.18,34.36,34.6,34.0,172699,594166926.0,1.76,0.79,0.27,1.02
2025-06-09,603799,34.36,34.36,34.67,34.18,157213,541248712.0,1.43,0.0,0.0,0.93
2025-06-10,603799,34.32,33.87,34.49,33.59,186054,632232704.0,2.62,-1.43,-0.49,1.1
2025-06-11,603799,33.66,34.99,35.19,33.55,424486,1475579922.0,4.84,3.31,1.12,2.52
2025-06-12,603799,34.7,35.37,35.99,34.7,369863,1308992064.0,3.69,1.09,0.38,2.19
2025-06-13,603799,35.26,35.22,35.75,35.01,231668,818704857.0,2.09,-0.42,-0.15,1.37
2025-06-16,603799,35.0,35.31,35.52,35.0,171330,604380125.0,1.48,0.26,0.09,1.02
2025-06-17,603799,35.32,36.49,36.87,35.15,418122,1520165214.0,4.87,3.34,1.18,2.48
2025-06-18,603799,36.49,36.33,36.5,35.79,230035,829434467.0,1.95,-0.44,-0.16,1.36
2025-06-19,603799,36.33,35.95,37.0,35.76,295958,1076316767.0,3.41,-1.05,-0.38,1.76
2025-06-20,603799,35.86,35.57,36.25,35.5,225913,809594666.0,2.09,-1.06,-0.38,1.34
2025-06-23,603799,36.99,37.83,38.28,36.98,702717,2647965218.0,3.65,6.35,2.26,4.17
2025-06-24,603799,37.77,37.72,38.15,37.45,371977,1403848074.0,1.85,-0.29,-0.11,2.21
2025-06-25,603799,37.62,37.49,37.73,37.12,336584,1258116825.0,1.62,-0.61,-0.23,2.0
2025-06-26,603799,37.62,37.27,38.09,37.13,321557,1207400653.0,2.56,-0.59,-0.22,1.91
2025-06-27,603799,37.36,37.12,37.88,37.03,296933,1110184964.0,2.28,-0.4,-0.15,1.76
2025-06-30,603799,37.17,37.02,37.34,36.8,283915,1048793204.0,1.45,-0.27,-0.1,1.68
2025-07-01,603799,37.06,38.08,38.25,36.87,460091,1730718604.0,3.73,2.86,1.06,2.73
2025-07-02,603799,37.81,37.97,38.57,37.52,298491,1133491452.0,2.76,-0.29,-0.11,1.77
2025-07-03,603799,38.58,38.42,38.66,37.8,363002,1388286492.0,2.26,1.19,0.45,2.15
2025-07-04,603799,38.3,37.65,38.31,37.13,380288,1430569991.0,3.07,-2.0,-0.77,2.26
2025-07-07,603799,37.61,37.33,37.62,37.26,162257,606981914.0,0.96,-0.85,-0.32,0.96
2025-07-08,603799,38.0,38.89,39.5,37.95,617711,2400134227.0,4.15,4.18,1.56,3.66
2025-07-09,603799,38.91,38.38,39.3,38.22,334953,1295073007.0,2.78,-1.31,-0.51,1.99
2025-07-10,603799,38.36,37.93,38.68,37.81,331261,1260893767.0,2.27,-1.17,-0.45,1.96
2025-07-11,603799,38.13,38.15,38.9,37.8,418863,1607884040.0,2.9,0.58,0.22,2.48
2025-07-14,603799,38.42,37.82,38.85,37.81,332527,1271861341.0,2.73,-0.87,-0.33,1.97
2025-07-15,603799,37.61,37.07,37.78,36.78,439625,1635742117.0,2.64,-1.98,-0.75,2.61
2025-07-16,603799,37.02,37.03,37.35,36.85,197818,733899691.0,1.35,-0.11,-0.04,1.17
2025-07-17,603799,37.03,37.42,37.48,36.85,225107,837203301.0,1.7,1.05,0.39,1.33
2025-07-18,603799,37.44,38.2,38.67,37.44,416366,1588021620.0,3.29,2.08,0.78,2.47
2025-07-21,603799,38.45,38.9,38.98,38.16,400250,1548945539.0,2.15,1.83,0.7,2.37
2025-07-22,603799,39.1,39.43,39.94,38.73,469271,1843194464.0,3.11,1.36,0.53,2.78
2025-07-23,603799,39.68,39.83,41.13,39.31,650158,2609001805.0,4.62,1.01,0.4,3.86
2025-07-24,603799,40.08,43.59,43.81,40.08,1358394,5804915023.0,9.36,9.44,3.76,8.06
2025-07-25,603799,43.71,44.92,45.18,43.35,1017040,4488769058.0,4.2,3.05,1.33,6.03
2025-07-28,603799,43.8,45.4,45.94,43.29,828617,3721891638.0,5.9,1.07,0.48,4.91
2025-07-29,603799,44.95,46.48,47.58,44.93,850847,3968333491.0,5.84,2.38,1.08,5.05
2025-07-30,603799,47.07,45.8,47.5,45.3,727899,3357958405.0,4.73,-1.46,-0.68,4.32
2025-07-31,603799,45.3,44.18,45.66,43.8,788502,3496464055.0,4.06,-3.54,-1.62,4.68
2025-08-01,603799,44.13,42.99,44.39,42.9,597383,2594191257.0,3.37,-2.69,-1.19,3.54
2025-08-04,603799,42.51,42.77,42.93,42.12,405896,1728221814.0,1.88,-0.51,-0.22,2.41
2025-08-05,603799,43.2,42.46,43.37,42.28,369220,1574621701.0,2.55,-0.72,-0.31,2.19
2025-08-06,603799,42.35,42.82,42.96,42.25,372770,1588816803.0,1.67,0.85,0.36,2.21
2025-08-07,603799,42.82,42.8,43.18,41.95,525462,2240369345.0,2.87,-0.05,-0.02,3.12
